Track,Album Name,Artist,Release Date,Spotify Streams,YouTube Views,TikTok Views
Summer Too Hot,Summer Too Hot,Chris Brown,6/23/2023,41255598.0,24244922.0,1570567.0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý Feat. TNDTLE,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý Feat. TNDTLE,NOAH,3/15/2023,2490145.0,4438330.0,272142273.0
Aria,Aria - Single,Argy,9/22/2023,40556347.0,2783520.0,3583492.0
Tu Falta De Querer,Mon Laferte (Vol. 1),Mon Laferte,8/21/2015,522954525.0,1362091486.0,155253912.0
Christmas Love,Christmas Love - Single,Jimin,12/24/2020,32018123.0,50238131.0,815938.0
Never Lose Me (feat. Lil Yachty),Never Lose Me (feat. Lil Yachty),Flo Milli,12/1/2023,45943524.0,42010424.0,6760.0
Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,7/10/2020,409441742.0,147151901.0,68851923.0
all-american bitch,GUTS,Olivia Rodrigo,9/8/2023,231346336.0,33144121.0,73409116.0
Drankin N Smokin,Pluto x Baby Pluto,Future,11/13/2020,300694036.0,118481138.0,87063670.0
Count Me Out,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,201021118.0,88574109.0,20521498.0
"MHD: Bzrp Music Sessions, Vol. 44","MHD: Bzrp Music Sessions, Vol. 44",Bizarrap,9/15/2021,27327435.0,2169188.0,8474261749.0
Exclusive.mp3,.mp3,Emilia,11/3/2023,107659341.0,60343754.0,47619658.0
Pointless,Pointless,Lewis Capaldi,12/2/2022,146341441.0,21962893.0,358616039.0
Old Love,Old Love - Single,yuji,8/19/2022,262082601.0,178440164.0,663874319.0
Rover (feat. DTG),Rover (feat. DTG),S1mba,11/15/2019,384524938.0,123438646.0,290883332.0
Me Enterï¿,Me Enterï¿,Tiago PZK,5/18/2023,144493101.0,109364201.0,58143056.0
La Tï¿½ï¿½,La Tï¿½ï¿½,Farruko,7/24/2020,476699016.0,371106551.0,201544043.0
fast,Fast,Sueco,5/10/2019,184246401.0,26642994.0,3451442440.0
Truth Hurts,Good As Hell,Lizzo,3/9/2016,990118320.0,111217546.0,548222747.0
